sector,mean_sector_sentiment,std_sector_sentiment,min_sector_sentiment,max_sector_sentiment,n_trading_day_observations
Comm,0.04783852120336993,0.06974957940233897,-0.19075499999999998,0.3084966666666667,1006
Consumer,0.06081735339602087,0.06036953782060645,-0.18427833333333335,0.266125,1006
Energy,0.04966381675153206,0.08751150949927662,-0.2635079047619048,0.35969666666666666,1006
Financials,0.063150275570102,0.07992806900833682,-0.25289,0.40857,1006
Healthcare,0.06495002931152054,0.07069616188038694,-0.2230033333333333,0.33386,1006
Industrials,0.05557879642045422,0.07367916942914916,-0.18616000000000002,0.3575638095238095,1006
Materials,0.031963112636025595,0.06649169669270946,-0.19146000000000002,0.41827999999999993,1006
RealEstate,0.05249552217519614,0.07233575157955234,-0.2329933333333333,0.40569500000000003,1006
Tech,0.06448564830248915,0.07566301257563265,-0.2615766666666667,0.5258787619047619,1006
Utilities,0.05083933157229351,0.07732808441019554,-0.259445,0.4279,1006
