profile,fixed_annualised_return,adaptive_annualised_return,difference_annualised_return,fixed_annualised_volatility,adaptive_annualised_volatility,difference_annualised_volatility,fixed_sharpe_ratio,adaptive_sharpe_ratio,difference_sharpe_ratio,fixed_maximum_drawdown,adaptive_maximum_drawdown,difference_maximum_drawdown,fixed_realised_95_cvar,adaptive_realised_95_cvar,difference_realised_95_cvar,fixed_worst_10_day_return,adaptive_worst_10_day_return,difference_worst_10_day_return,fixed_ending_growth_of_1,adaptive_ending_growth_of_1,difference_ending_growth_of_1,fixed_average_target_crypto_budget,adaptive_average_target_crypto_budget,difference_average_target_crypto_budget,fixed_average_pretrade_crypto_weight,adaptive_average_pretrade_crypto_weight,difference_average_pretrade_crypto_weight,fixed_average_turnover,adaptive_average_turnover,difference_average_turnover
conservative,0.060851863344146384,0.04476605636960551,-0.016085806974540873,0.15768626860714452,0.14385567694872767,-0.013830591658416852,0.3859046439595266,0.31118727685359826,-0.07471736710592836,-0.2272113640898623,-0.21063876868720655,0.016572595402655765,-0.023126754648586358,-0.02059644145445576,0.0025303131941305963,-0.12174324429234329,-0.11143551128562157,0.01030773300672172,1.193050472324651,1.139805492716859,-0.05324497960779184,0.10000000000000002,0.060331164525794984,-0.039668835474205036,0.10143594755637635,0.05891930356247096,-0.04251664399390539,0.2615409740783559,0.26871845286828455,0.007177478789928637
balanced,0.08190539548960474,0.05259673199956039,-0.02930866349004435,0.20624059692021185,0.17478536546661785,-0.031455231453593996,0.3971351747070991,0.30092182980620197,-0.09621334490089711,-0.3051308436348211,-0.2699395630371635,0.03519128059765764,-0.030742820721111796,-0.02560723795250718,0.005135582768604617,-0.1367588580027822,-0.12491206195132887,0.011846796051453334,1.265204839900676,1.1655234825857252,-0.09968135731495065,0.20000000000000004,0.1415633972162718,-0.058436602783728225,0.20202035918444503,0.1397118345360238,-0.06230852464842124,0.2512717654013976,0.25901001396059475,0.007738248559197136
growth,0.09897242594329736,0.06158296234494465,-0.03738946359835271,0.26576372179976204,0.21718815518318663,-0.048575566616575416,0.3724075854787566,0.2835465971567496,-0.08886098832200695,-0.38020060216800544,-0.33501549735562075,0.04518510481238469,-0.03995616576197971,-0.03215463539693389,0.007801530365045821,-0.15192093679879126,-0.13850692878652116,0.013414008012270107,1.3257830102812518,1.1955089834768144,-0.13027402680443734,0.30000000000000004,0.22368921845307024,-0.0763107815469298,0.30196179843182214,0.2216750495602802,-0.08028674887154194,0.2400442926727118,0.2475675349924739,0.007523242319762091
