Strategy,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Base Min-Variance,0.05438701656191114,0.12690904431637678,0.4285511474369589,-0.15287896249877553
Naive Contrarian,0.06341709679800456,0.13293635916680907,0.47704854560089566,-0.16730255964452168
Sector-Neutral Contrarian,0.07302016167599445,0.13003799505985564,0.561529433319729,-0.1371148863599766
