Strategy,Lambda,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Base Min-Variance,0.0,0.0005693268534305851,0.10743690674763863,0.005299173912070011,-0.10510287607431246
Naive Contrarian,-1.0,0.02317966755310219,0.11143817032808909,0.20800473917382262,-0.11013223728084587
Sector-Neutral Contrarian,-1.0,0.025448607046284266,0.11076593528070315,0.22975120448170622,-0.11172328592390834
Tail-Risk-Aware Sector-Neutral Fixed,-1.0,0.03446637766840244,0.11118689510845518,0.3099859712314374,-0.11062003367345608
Tail-Risk-Aware Sector-Neutral Tuned,-1.0,0.03446637766840244,0.11118689510845518,0.3099859712314374,-0.11062003367345608
