profile,no_adjustment_triggers,monthly_limit_triggers,raw_average_absolute_budget_change,smoothed_average_absolute_budget_change,difference_average_absolute_budget_change,raw_maximum_absolute_budget_change,smoothed_maximum_absolute_budget_change,difference_maximum_absolute_budget_change,raw_average_turnover,smoothed_average_turnover,difference_average_turnover,raw_total_turnover,smoothed_total_turnover,difference_total_turnover,raw_total_transaction_cost,smoothed_total_transaction_cost,difference_total_transaction_cost,raw_net_annualised_return,smoothed_net_annualised_return,difference_net_annualised_return,raw_net_annualised_volatility,smoothed_net_annualised_volatility,difference_net_annualised_volatility,raw_net_sharpe_ratio,smoothed_net_sharpe_ratio,difference_net_sharpe_ratio,raw_net_maximum_drawdown,smoothed_net_maximum_drawdown,difference_net_maximum_drawdown,raw_net_realised_95_cvar,smoothed_net_realised_95_cvar,difference_net_realised_95_cvar,raw_net_worst_10_day_return,smoothed_net_worst_10_day_return,difference_net_worst_10_day_return,raw_net_ending_growth_of_1,smoothed_net_ending_growth_of_1,difference_net_ending_growth_of_1
conservative,15,2,0.019494896834379764,0.017123914752838899,-0.002370982081540865,0.058553954031943994,0.050000000000000093,-0.0085539540319439014,0.26860732373535456,0.26871845286828455,0.00011112913292998794,9.4012563307374091,9.4051458503899585,0.0038895196525494669,0.0094012563307374099,0.0094051458503883519,3.8895196509420443e-06,0.042507157022243058,0.041491490123276131,-0.0010156668989669271,0.14405923222316203,0.14380036567525534,-0.00025886654790668873,0.2950672189922216,0.28853535892235804,-0.0065318600698635598,-0.20993083699485526,-0.21227833464452062,-0.0023474976496653532,-0.02061383345423301,-0.020601112240075679,1.2721214157331018e-05,-0.10954222326169372,-0.1114355112856209,-0.0018932880239271865,1.1324574907319911,1.1291639128726174,-0.0032935778593736753
balanced,10,10,0.029242345251569647,0.026490462169098439,-0.0027518830824712071,0.087830931047915811,0.050000000000000017,-0.037830931047915795,0.25971750228768326,0.25901001396059481,-0.00070748832708844578,9.0901125800689115,9.0653504886208189,-0.024762091448092605,0.0090901125800689122,0.009065350488619027,-2.4762091449885212e-05,0.058570153104981371,0.049417351346018989,-0.0091528017589623811,0.17392591261757806,0.17473829964657184,0.00081238702899377735,0.33675346142218199,0.28280778424633424,-0.05394567717584775,-0.26966672023623428,-0.27206818012906031,-0.00240145989282603,-0.025331827763490675,-0.025607237952507127,-0.00027541018901645203,-0.11831614077397001,-0.12491206195132865,-0.0065959211773586324,1.1853992621397103,1.1550355151633678,-0.030363746976342476
growth,6,13,0.038989793668759508,0.030784507228023721,-0.0082052864407357873,0.11710790806388779,0.050000000000000017,-0.067107908063887778,0.25187566436421804,0.24756753499247389,-0.0043081293717441571,8.8156482527476321,8.6648637247365858,-0.15078452801104625,0.0088156482527476324,0.008664863724735258,-0.00015078452801237444,0.072424645802556142,0.058518007982450104,-0.013906637820106038,0.21559562271660804,0.21715211662352801,0.0015564939069199757,0.33592818300284089,0.26947933500414145,-0.066448847998699434,-0.33192430546439033,-0.33685196856261923,-0.004927663098228896,-0.031436352964571541,-0.032154635396933841,-0.00071828243236229938,-0.1271401627551797,-0.13850692878652082,-0.011366766031341125,1.2323635625165026,1.1852247876770603,-0.047138774839442288
