fund,profile,fund_type,annualised_return,annualised_volatility,sharpe_ratio,maximum_drawdown,realised_95_cvar,worst_10_day_return,ending_growth_of_1,average_target_crypto_budget,average_pretrade_crypto_weight,average_turnover
conservative_fixed,conservative,fixed,0.060851863344146384,0.15768626860714452,0.3859046439595266,-0.2272113640898623,-0.023126754648586358,-0.12174324429234329,1.193050472324651,0.10000000000000002,0.10143594755637635,0.2615409740783559
conservative_adaptive,conservative,adaptive,0.04476605636960551,0.14385567694872767,0.31118727685359826,-0.21063876868720655,-0.02059644145445576,-0.11143551128562157,1.139805492716859,0.060331164525794984,0.05891930356247096,0.26871845286828455
balanced_fixed,balanced,fixed,0.08190539548960474,0.20624059692021185,0.3971351747070991,-0.3051308436348211,-0.030742820721111796,-0.1367588580027822,1.265204839900676,0.20000000000000004,0.20202035918444503,0.2512717654013976
balanced_adaptive,balanced,adaptive,0.05259673199956039,0.17478536546661785,0.30092182980620197,-0.2699395630371635,-0.02560723795250718,-0.12491206195132887,1.1655234825857252,0.1415633972162718,0.1397118345360238,0.25901001396059475
growth_fixed,growth,fixed,0.09897242594329736,0.26576372179976204,0.3724075854787566,-0.38020060216800544,-0.03995616576197971,-0.15192093679879126,1.3257830102812518,0.30000000000000004,0.30196179843182214,0.2400442926727118
growth_adaptive,growth,adaptive,0.06158296234494465,0.21718815518318663,0.2835465971567496,-0.33501549735562075,-0.03215463539693389,-0.13850692878652116,1.1955089834768144,0.22368921845307024,0.2216750495602802,0.2475675349924739
