fund_name,asset_universe,method,annualised_return,annualised_volatility,sharpe_ratio,maximum_drawdown
equity_equal_weight,equity,equal_weight,0.1264237978181748,0.1611798066658658,0.7843649923234983,-0.2024921015251168
equity_min_variance,equity,min_variance,0.0543870165619113,0.1269090443163767,0.4285511474369606,-0.1528789624987753
equity_max_sharpe,equity,max_sharpe,0.0601035491578141,0.1730792354732526,0.3472603111139951,-0.2256224632122448
equity_min_cvar,equity,min_cvar,0.0359923379327331,0.1346833925621919,0.2672366447564289,-0.180037873982257
crypto_equal_weight,crypto,equal_weight,0.4050471763369514,0.8189033644058297,0.4946214583339034,-0.815713088159332
crypto_min_variance,crypto,min_variance,0.67767157960233,0.7868169103458307,0.8612824288492632,-0.7418256758301005
crypto_max_sharpe,crypto,max_sharpe,0.3483362701844066,0.7827905698796261,0.4449929311718358,-0.7712665953626597
crypto_min_cvar,crypto,min_cvar,0.4988263508984418,0.8118119559276407,0.6144604637270257,-0.7681129155984883
combined_equal_weight,combined,equal_weight,0.1513526195518086,0.2160038524438884,0.7006940748481593,-0.2787245867171573
combined_min_variance,combined,min_variance,0.0544041159111901,0.1271554460780531,0.4278551771804932,-0.1545031073325333
combined_max_sharpe,combined,max_sharpe,0.1671309195772241,0.2334242990120636,0.7159962364011926,-0.2266899274919829
combined_min_cvar,combined,min_cvar,0.0297793589534247,0.1365554546082168,0.2180752064343599,-0.1800378739822454
