lambda,direction,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,selected
-1.0,Contrarian,0.10216550857428208,0.13846935862299467,0.7378203350565397,-0.12730295697261163,True
-0.5,Contrarian,0.10045350537507391,0.13675566842674727,0.7345472880992974,-0.1307079851356321,False
0.0,Base,0.0822027425144991,0.13561920529153224,0.6061290680607732,-0.1528789624987753,False
0.5,Momentum,0.08174644667675213,0.1383959944864913,0.5906706113863094,-0.17341135312847733,False
1.0,Momentum,0.08624831353898066,0.14062650826811998,0.6133147626373451,-0.17580014498961216,False
