fund,profile,annualised_return,annualised_volatility,sharpe_ratio,maximum_drawdown,realised_95_cvar,worst_10_day_return,ending_growth_of_1,average_target_crypto_budget,average_pretrade_crypto_weight,average_turnover,crypto_budget_rank,volatility_rank,drawdown_risk_rank
conservative_adaptive,conservative,0.04476605636960551,0.14385567694872767,0.31118727685359826,-0.21063876868720655,-0.02059644145445576,-0.11143551128562157,1.139805492716859,0.060331164525794984,0.05891930356247096,0.26871845286828455,1.0,1.0,1.0
balanced_adaptive,balanced,0.05259673199956039,0.17478536546661785,0.30092182980620197,-0.2699395630371635,-0.02560723795250718,-0.12491206195132887,1.1655234825857252,0.1415633972162718,0.1397118345360238,0.25901001396059475,2.0,2.0,2.0
growth_adaptive,growth,0.06158296234494465,0.21718815518318663,0.2835465971567496,-0.33501549735562075,-0.03215463539693389,-0.13850692878652116,1.1955089834768144,0.22368921845307024,0.2216750495602802,0.2475675349924739,3.0,3.0,3.0
