strategy,sentiment_lambda,annualised_return,annualised_volatility,sharpe_ratio,maximum_drawdown,delta_annualised_return,delta_annualised_volatility,delta_sharpe_ratio,delta_maximum_drawdown
Base Min-Variance,0.0,0.05438701656191114,0.12690904431637678,0.4285511474369589,-0.15287896249877553,0.0,0.0,0.0,0.0
Momentum Tilt,1.0,0.045815101963934346,0.133010502532202,0.34444725109464536,-0.147703657982178,-0.008571914597976793,0.006101458215825223,-0.08410389634231352,0.005175304516597534
Contrarian Tilt,-1.0,0.06341709679800456,0.13293635916680907,0.47704854560089566,-0.16730255964452168,0.009030080236093418,0.006027314850432286,0.04849739816393678,-0.014423597145746148
