fund,profile,fund_type,number_of_rebalances,total_turnover,average_turnover,total_transaction_cost,gross_annualised_return,net_annualised_return,annualised_return_drag,gross_annualised_volatility,net_annualised_volatility,gross_sharpe_ratio,net_sharpe_ratio,sharpe_ratio_drag,gross_maximum_drawdown,net_maximum_drawdown,gross_realised_95_cvar,net_realised_95_cvar,gross_worst_10_day_return,net_worst_10_day_return,gross_ending_growth_of_1,net_ending_growth_of_1,ending_wealth_drag
conservative_fixed,conservative,fixed,36,9.1539340927424551,0.26154097407835586,0.0091539340927424551,0.060851863344146384,0.05761524998198575,-0.0032366133621606341,0.15768626860714452,0.15764028651143089,0.38590464395952662,0.36548557007226656,-0.020419073887260053,-0.22721136408986231,-0.22878823695992623,-0.023126754648586358,-0.023131125072309223,-0.12174324429234329,-0.12174324429234329,1.1930504723246509,1.1822069212071362,-0.010843551117514671
conservative_adaptive,conservative,adaptive,36,9.4051458503899585,0.26871845286828455,0.0094051458503899583,0.044766056369605511,0.041491490123270358,-0.0032745662463351533,0.14385567694872767,0.14380036567525595,0.31118727685359826,0.28853535892231663,-0.022651917931281629,-0.21063876868720655,-0.21227833464452284,-0.020596441454455761,-0.020601112240075728,-0.11143551128562157,-0.11143551128562157,1.139805492716859,1.1291639128725985,-0.010641579844260507
balanced_fixed,balanced,fixed,36,8.7945117890489151,0.25127176540139756,0.0087945117890489144,0.081905395489604738,0.078734576948244817,-0.003170818541359921,0.20624059692021185,0.20620537610425882,0.39713517470709908,0.38182601460611815,-0.015309160100980934,-0.30513084363482113,-0.30669819052927294,-0.030742820721111796,-0.030742820721111796,-0.1367588580027822,-0.1367588580027822,1.2652048399006759,1.2541571488996035,-0.011047691001072391
balanced_adaptive,balanced,adaptive,36,9.0653504886208189,0.25901001396059481,0.009065350488620819,0.052596731999560387,0.049417351346012772,-0.0031793806535476143,0.17478536546661785,0.17473829964657242,0.30092182980620197,0.28280778424629771,-0.018114045559904257,-0.26993956303716349,-0.27206818012906298,-0.025607237952507179,-0.025607237952507179,-0.12491206195132887,-0.12491206195132887,1.1655234825857252,1.1550355151633473,-0.010487967422377897
growth_fixed,growth,fixed,36,8.4015502435449125,0.2400442926727118,0.0084015502435449124,0.09897242594329736,0.09589572887139175,-0.0030766970719056097,0.26576372179976204,0.26573695693049554,0.37240758547875658,0.36086711452962722,-0.011540470949129356,-0.38020060216800544,-0.3815175669270795,-0.03995616576197971,-0.03995616576197971,-0.15192093679879126,-0.15192093679879126,1.3257830102812518,1.3147229971966137,-0.01106001308463811
growth_adaptive,growth,adaptive,36,8.6648637247365858,0.24756753499247389,0.0086648637247365868,0.061582962344944647,0.058518007982443443,-0.0030649543625012043,0.21718815518318663,0.21715211662352857,0.28354659715674962,0.26947933500411009,-0.014067262152639537,-0.33501549735562075,-0.33685196856262234,-0.032154635396933889,-0.032154635396933889,-0.13850692878652116,-0.13850692878652116,1.1955089834768144,1.1852247876770383,-0.01028419579977613
