date,profile,rolling_tail_risk,risk_score,risk_score_available,minimum_raw_crypto_budget,maximum_raw_crypto_budget,raw_crypto_budget,raw_equity_budget,raw_budget_available
2020-01-31,conservative,,,False,0.0,0.1,,,False
2020-01-31,balanced,,,False,0.05,0.2,,,False
2020-01-31,growth,,,False,0.1,0.3,,,False
2020-02-28,conservative,,,False,0.0,0.1,,,False
2020-02-28,balanced,,,False,0.05,0.2,,,False
2020-02-28,growth,,,False,0.1,0.3,,,False
2020-03-31,conservative,0.149517434550799,,False,0.0,0.1,,,False
2020-03-31,balanced,0.149517434550799,,False,0.05,0.2,,,False
2020-03-31,growth,0.149517434550799,,False,0.1,0.3,,,False
2020-04-30,conservative,0.1375276453502318,25.0,True,0.0,0.1,0.07500000000000001,0.925,True
2020-04-30,balanced,0.1375276453502318,25.0,True,0.05,0.2,0.1625,0.8375,True
2020-04-30,growth,0.1375276453502318,25.0,True,0.1,0.3,0.25,0.75,True
2020-05-29,conservative,0.0594145438126023,1.1235955056179776,True,0.0,0.1,0.09887640449438202,0.9011235955056179,True
2020-05-29,balanced,0.0594145438126023,1.1235955056179776,True,0.05,0.2,0.19831460674157306,0.8016853932584269,True
2020-05-29,growth,0.0594145438126023,1.1235955056179776,True,0.1,0.3,0.29775280898876405,0.702247191011236,True
2020-06-30,conservative,0.0569063282304659,2.479338842975207,True,0.0,0.1,0.0975206611570248,0.9024793388429752,True
2020-06-30,balanced,0.0569063282304659,2.479338842975207,True,0.05,0.2,0.1962809917355372,0.8037190082644627,True
2020-06-30,growth,0.0569063282304659,2.479338842975207,True,0.1,0.3,0.29504132231404956,0.7049586776859504,True
2020-07-31,conservative,0.036325914903122,0.6578947368421052,True,0.0,0.1,0.0993421052631579,0.9006578947368421,True
2020-07-31,balanced,0.036325914903122,0.6578947368421052,True,0.05,0.2,0.19901315789473686,0.8009868421052632,True
2020-07-31,growth,0.036325914903122,0.6578947368421052,True,0.1,0.3,0.2986842105263158,0.7013157894736842,True
2020-08-31,conservative,0.0535725067702319,29.50819672131147,True,0.0,0.1,0.07049180327868854,0.9295081967213115,True
2020-08-31,balanced,0.0535725067702319,29.50819672131147,True,0.05,0.2,0.1557377049180328,0.8442622950819672,True
2020-08-31,growth,0.0535725067702319,29.50819672131147,True,0.1,0.3,0.24098360655737705,0.759016393442623,True
2020-09-30,conservative,0.0740437214573282,69.01408450704226,True,0.0,0.1,0.030985915492957747,0.9690140845070423,True
2020-09-30,balanced,0.0740437214573282,69.01408450704226,True,0.05,0.2,0.09647887323943662,0.9035211267605634,True
2020-09-30,growth,0.0740437214573282,69.01408450704226,True,0.1,0.3,0.1619718309859155,0.8380281690140845,True
2020-10-30,conservative,0.0670023862177375,48.148148148148145,True,0.0,0.1,0.05185185185185186,0.9481481481481482,True
2020-10-30,balanced,0.0670023862177375,48.148148148148145,True,0.05,0.2,0.12777777777777777,0.8722222222222222,True
2020-10-30,growth,0.0670023862177375,48.148148148148145,True,0.1,0.3,0.20370370370370372,0.7962962962962963,True
2020-11-30,conservative,0.0512065765982523,27.37226277372263,True,0.0,0.1,0.07262773722627738,0.9273722627737226,True
2020-11-30,balanced,0.0512065765982523,27.37226277372263,True,0.05,0.2,0.15894160583941608,0.8410583941605839,True
2020-11-30,growth,0.0512065765982523,27.37226277372263,True,0.1,0.3,0.24525547445255474,0.7547445255474452,True
2020-12-31,conservative,0.0950169251794809,80.32786885245902,True,0.0,0.1,0.01967213114754099,0.980327868852459,True
2020-12-31,balanced,0.0950169251794809,80.32786885245902,True,0.05,0.2,0.07950819672131147,0.9204918032786885,True
2020-12-31,growth,0.0950169251794809,80.32786885245902,True,0.1,0.3,0.13934426229508196,0.860655737704918,True
2021-01-29,conservative,0.1082779977240067,80.83832335329342,True,0.0,0.1,0.01916167664670658,0.9808383233532935,True
2021-01-29,balanced,0.1082779977240067,80.83832335329342,True,0.05,0.2,0.07874251497005987,0.9212574850299401,True
2021-01-29,growth,0.1082779977240067,80.83832335329342,True,0.1,0.3,0.13832335329341316,0.8616766467065868,True
2021-02-26,conservative,0.1011100516469831,76.24309392265194,True,0.0,0.1,0.023756906077348067,0.976243093922652,True
2021-02-26,balanced,0.1011100516469831,76.24309392265194,True,0.05,0.2,0.08563535911602209,0.914364640883978,True
2021-02-26,growth,0.1011100516469831,76.24309392265194,True,0.1,0.3,0.1475138121546961,0.8524861878453038,True
2021-03-31,conservative,0.0721050474222789,43.54430379746835,True,0.0,0.1,0.05645569620253165,0.9435443037974683,True
2021-03-31,balanced,0.0721050474222789,43.54430379746835,True,0.05,0.2,0.13468354430379748,0.8653164556962025,True
2021-03-31,growth,0.0721050474222789,43.54430379746835,True,0.1,0.3,0.2129113924050633,0.7870886075949367,True
2021-04-30,conservative,0.0665231499094032,34.8235294117647,True,0.0,0.1,0.06517647058823531,0.9348235294117647,True
2021-04-30,balanced,0.0665231499094032,34.8235294117647,True,0.05,0.2,0.14776470588235296,0.852235294117647,True
2021-04-30,growth,0.0665231499094032,34.8235294117647,True,0.1,0.3,0.2303529411764706,0.7696470588235294,True
2021-05-28,conservative,0.1494506335886626,93.3774834437086,True,0.0,0.1,0.006622516556291397,0.9933774834437086,True
2021-05-28,balanced,0.1494506335886626,93.3774834437086,True,0.05,0.2,0.0599337748344371,0.9400662251655629,True
2021-05-28,growth,0.1494506335886626,93.3774834437086,True,0.1,0.3,0.1132450331125828,0.8867549668874172,True
2021-06-30,conservative,0.1683440029788646,100.0,True,0.0,0.1,0.0,1.0,True
2021-06-30,balanced,0.1683440029788646,100.0,True,0.05,0.2,0.05,0.95,True
2021-06-30,growth,0.1683440029788646,100.0,True,0.1,0.3,0.1,0.9,True
2021-07-30,conservative,0.0918319470264436,60.07751937984496,True,0.0,0.1,0.03992248062015505,0.960077519379845,True
2021-07-30,balanced,0.0918319470264436,60.07751937984496,True,0.05,0.2,0.10988372093023256,0.8901162790697674,True
2021-07-30,growth,0.0918319470264436,60.07751937984496,True,0.1,0.3,0.17984496124031008,0.8201550387596899,True
2021-08-31,conservative,0.0566624258194645,16.240875912408757,True,0.0,0.1,0.08375912408759124,0.9162408759124088,True
2021-08-31,balanced,0.0566624258194645,16.240875912408757,True,0.05,0.2,0.17563868613138686,0.8243613138686131,True
2021-08-31,growth,0.0566624258194645,16.240875912408757,True,0.1,0.3,0.2675182481751825,0.7324817518248175,True
2021-09-30,conservative,0.0897193866592784,63.14878892733565,True,0.0,0.1,0.036851211072664355,0.9631487889273357,True
2021-09-30,balanced,0.0897193866592784,63.14878892733565,True,0.05,0.2,0.10527681660899652,0.8947231833910034,True
2021-09-30,growth,0.0897193866592784,63.14878892733565,True,0.1,0.3,0.1737024221453287,0.8262975778546713,True
2021-10-29,conservative,0.088803821425399,60.79077429983526,True,0.0,0.1,0.039209225700164746,0.9607907742998353,True
2021-10-29,balanced,0.088803821425399,60.79077429983526,True,0.05,0.2,0.10881383855024711,0.8911861614497529,True
2021-10-29,growth,0.088803821425399,60.79077429983526,True,0.1,0.3,0.17841845140032947,0.8215815485996705,True
2021-11-30,conservative,0.0669718047226076,29.42097026604069,True,0.0,0.1,0.07057902973395931,0.9294209702660406,True
2021-11-30,balanced,0.0669718047226076,29.42097026604069,True,0.05,0.2,0.15586854460093896,0.8441314553990611,True
2021-11-30,growth,0.0669718047226076,29.42097026604069,True,0.1,0.3,0.24115805946791863,0.7588419405320814,True
2021-12-31,conservative,0.0780920808393098,51.7910447761194,True,0.0,0.1,0.048208955223880606,0.9517910447761194,True
2021-12-31,balanced,0.0780920808393098,51.7910447761194,True,0.05,0.2,0.1223134328358209,0.8776865671641791,True
