date,strategy,return
2021-03-15,Base Min-Variance,0.014040113550352484
2021-03-16,Base Min-Variance,0.005157878787640845
2021-03-17,Base Min-Variance,-0.009703448530996202
2021-03-18,Base Min-Variance,-0.007645060951615141
2021-03-19,Base Min-Variance,-0.0027450325453964412
2021-03-22,Base Min-Variance,0.009211284052794923
2021-03-23,Base Min-Variance,-0.00010576838177591905
2021-03-24,Base Min-Variance,-0.006182208148431467
2021-03-25,Base Min-Variance,0.0023882779285349853
2021-03-26,Base Min-Variance,0.01736174204833819
2021-03-29,Base Min-Variance,0.010903648017203215
2021-03-30,Base Min-Variance,-0.009540340738859888
2021-03-31,Base Min-Variance,0.0013422172545206716
2021-04-01,Base Min-Variance,0.008377451086797561
2021-04-05,Base Min-Variance,0.011247715511014344
2021-04-06,Base Min-Variance,0.0002920454357842379
2021-04-07,Base Min-Variance,-0.0007580535937793091
2021-04-08,Base Min-Variance,-0.0003394525781473363
2021-04-09,Base Min-Variance,0.0036309873652749756
2021-04-12,Base Min-Variance,0.0013958784636895181
2021-04-13,Base Min-Variance,0.0023664029267610335
2021-04-14,Base Min-Variance,-0.002812789078208779
2021-04-15,Base Min-Variance,0.007397136009558206
2021-04-16,Base Min-Variance,0.0016171956844168182
2021-04-19,Base Min-Variance,-0.0008252824751908089
2021-04-20,Base Min-Variance,0.005707019443515803
2021-04-21,Base Min-Variance,0.004919950532009312
2021-04-22,Base Min-Variance,0.0010767505633644207
2021-04-23,Base Min-Variance,0.002653817854619936
2021-04-26,Base Min-Variance,-0.006496650884104578
2021-04-27,Base Min-Variance,-0.00510933494786127
2021-04-28,Base Min-Variance,-0.0002392895121344613
2021-04-29,Base Min-Variance,0.008338349685934212
2021-04-30,Base Min-Variance,-0.0013468367262264764
2021-05-03,Base Min-Variance,0.007923706241422565
2021-05-04,Base Min-Variance,-0.0044785952593492245
2021-05-05,Base Min-Variance,0.002231917384692659
2021-05-06,Base Min-Variance,0.0070540654273317455
2021-05-07,Base Min-Variance,0.0010114623044069305
2021-05-10,Base Min-Variance,0.005004330201895753
2021-05-11,Base Min-Variance,-0.008741003509646397
2021-05-12,Base Min-Variance,-0.013620847514958607
2021-05-13,Base Min-Variance,0.012113860874667216
2021-05-14,Base Min-Variance,0.002860584436575069
2021-05-17,Base Min-Variance,-0.001241002242700377
2021-05-18,Base Min-Variance,-0.004357025789158653
2021-05-19,Base Min-Variance,0.0003469429723296891
2021-05-20,Base Min-Variance,0.010070668291415681
2021-05-21,Base Min-Variance,-0.0017313005914778995
2021-05-24,Base Min-Variance,-0.0014867974503059266
2021-05-25,Base Min-Variance,-0.0055930285998839115
2021-05-26,Base Min-Variance,0.0008206279989150102
2021-05-27,Base Min-Variance,-0.004471106753983708
2021-05-28,Base Min-Variance,0.0014889068427626614
2021-06-01,Base Min-Variance,-0.004301630255752224
2021-06-02,Base Min-Variance,0.0012113258575854812
2021-06-03,Base Min-Variance,0.00402098605167805
2021-06-04,Base Min-Variance,0.006029136133364593
2021-06-07,Base Min-Variance,-0.004168934281336777
2021-06-08,Base Min-Variance,-0.005446012937681223
2021-06-09,Base Min-Variance,0.00498660315317103
2021-06-10,Base Min-Variance,0.008451343311155605
2021-06-11,Base Min-Variance,0.001946454738785832
