date,strategy,turnover
2022-05-02,Naive Contrarian,0.39265080529632557
2022-06-01,Naive Contrarian,0.42025857850179194
2022-07-01,Naive Contrarian,0.48975293761614164
2022-08-01,Naive Contrarian,0.3734220791560636
2022-09-01,Naive Contrarian,0.41545934226521297
2022-10-03,Naive Contrarian,0.34608893437994126
2022-11-01,Naive Contrarian,0.36913062174775957
2022-12-01,Naive Contrarian,0.34241278035644435
2023-01-03,Naive Contrarian,0.27515685765416237
2023-02-01,Naive Contrarian,0.2364811836924631
2023-03-01,Naive Contrarian,0.3168302872642058
2023-04-03,Naive Contrarian,0.3513584399518138
2023-05-01,Naive Contrarian,0.2721410132912508
2023-06-01,Naive Contrarian,0.43732641179305326
2023-07-03,Naive Contrarian,0.30065612727848384
2023-08-01,Naive Contrarian,0.2666023807190858
2023-09-01,Naive Contrarian,0.47564365179329227
2023-10-02,Naive Contrarian,0.6187177219584777
2023-11-01,Naive Contrarian,0.2570439117383139
2023-12-01,Naive Contrarian,0.3477078603416185
