fund_name,asset_universe,method,date,turnover
combined_min_cvar,combined,min_cvar,2022-09-01,0.16190622330205157
combined_min_cvar,combined,min_cvar,2022-10-03,0.4161504149177458
combined_min_cvar,combined,min_cvar,2022-11-01,0.13653995246495998
combined_min_cvar,combined,min_cvar,2022-12-01,0.2631647178747624
combined_min_cvar,combined,min_cvar,2023-01-03,0.15041672239745604
combined_min_cvar,combined,min_cvar,2023-02-01,0.16239844186046784
combined_min_cvar,combined,min_cvar,2023-03-01,0.2530618753765561
combined_min_cvar,combined,min_cvar,2023-04-03,0.15731762457187
combined_min_cvar,combined,min_cvar,2023-05-01,0.22495236267680713
combined_min_cvar,combined,min_cvar,2023-06-01,0.43288996364697396
combined_min_cvar,combined,min_cvar,2023-07-03,0.2203492130384696
combined_min_cvar,combined,min_cvar,2023-08-01,0.10628799423076285
combined_min_cvar,combined,min_cvar,2023-09-01,0.27420986701514805
combined_min_cvar,combined,min_cvar,2023-10-02,0.47234063420278705
combined_min_cvar,combined,min_cvar,2023-11-01,0.3702702516649995
combined_min_cvar,combined,min_cvar,2023-12-01,0.21766711465341498
combined_min_variance,combined,min_variance,2021-01-04,
combined_min_variance,combined,min_variance,2021-02-01,0.05539827230682878
combined_min_variance,combined,min_variance,2021-03-01,0.09323098756809509
combined_min_variance,combined,min_variance,2021-04-01,0.29913947668336105
combined_min_variance,combined,min_variance,2021-05-03,0.19636437724559824
combined_min_variance,combined,min_variance,2021-06-01,0.11551643414537333
combined_min_variance,combined,min_variance,2021-07-01,0.19920241226129337
combined_min_variance,combined,min_variance,2021-08-02,0.07442193517650099
combined_min_variance,combined,min_variance,2021-09-01,0.05472746825634125
combined_min_variance,combined,min_variance,2021-10-01,0.194208420261889
combined_min_variance,combined,min_variance,2021-11-01,0.20740564580945867
combined_min_variance,combined,min_variance,2021-12-01,0.19459072482353312
combined_min_variance,combined,min_variance,2022-01-03,0.12942276301404915
combined_min_variance,combined,min_variance,2022-02-01,0.28713508500033025
combined_min_variance,combined,min_variance,2022-03-01,0.2775592258505649
combined_min_variance,combined,min_variance,2022-04-01,0.1373287765239326
combined_min_variance,combined,min_variance,2022-05-02,0.22771554502359517
combined_min_variance,combined,min_variance,2022-06-01,0.24144166309374557
combined_min_variance,combined,min_variance,2022-07-01,0.13135064441913408
combined_min_variance,combined,min_variance,2022-08-01,0.06785230253834493
combined_min_variance,combined,min_variance,2022-09-01,0.17045639392576029
combined_min_variance,combined,min_variance,2022-10-03,0.18666035248477164
combined_min_variance,combined,min_variance,2022-11-01,0.1496935047160419
combined_min_variance,combined,min_variance,2022-12-01,0.13213687796829615
combined_min_variance,combined,min_variance,2023-01-03,0.05885324044321038
combined_min_variance,combined,min_variance,2023-02-01,0.08350185141244597
combined_min_variance,combined,min_variance,2023-03-01,0.10643227501392168
combined_min_variance,combined,min_variance,2023-04-03,0.09519535223498735
combined_min_variance,combined,min_variance,2023-05-01,0.09935901323237714
combined_min_variance,combined,min_variance,2023-06-01,0.1521955928035251
combined_min_variance,combined,min_variance,2023-07-03,0.1411070278085631
combined_min_variance,combined,min_variance,2023-08-01,0.04531592325383464
combined_min_variance,combined,min_variance,2023-09-01,0.10652970049517586
combined_min_variance,combined,min_variance,2023-10-02,0.09463373200010183
combined_min_variance,combined,min_variance,2023-11-01,0.10295610220954382
combined_min_variance,combined,min_variance,2023-12-01,0.15067954992605734
crypto_equal_weight,crypto,equal_weight,2021-01-01,
crypto_equal_weight,crypto,equal_weight,2021-02-01,0.14434551287242162
crypto_equal_weight,crypto,equal_weight,2021-03-01,0.15533662429037423
crypto_equal_weight,crypto,equal_weight,2021-04-01,0.07270729548497028
crypto_equal_weight,crypto,equal_weight,2021-05-01,0.144162226528111
crypto_equal_weight,crypto,equal_weight,2021-06-01,0.16360572693964284
crypto_equal_weight,crypto,equal_weight,2021-07-01,0.04903731964210506
crypto_equal_weight,crypto,equal_weight,2021-08-01,0.03183434363540118
crypto_equal_weight,crypto,equal_weight,2021-09-01,0.07355296539279194
crypto_equal_weight,crypto,equal_weight,2021-10-01,0.04128786692208689
crypto_equal_weight,crypto,equal_weight,2021-11-01,0.04512425976376988
crypto_equal_weight,crypto,equal_weight,2021-12-01,0.03570105123091291
crypto_equal_weight,crypto,equal_weight,2022-01-01,0.02441094978075995
crypto_equal_weight,crypto,equal_weight,2022-02-01,0.02102647982226584
crypto_equal_weight,crypto,equal_weight,2022-03-01,0.04051822865186431
crypto_equal_weight,crypto,equal_weight,2022-04-01,0.040040753972747554
crypto_equal_weight,crypto,equal_weight,2022-05-01,0.04440722090590186
crypto_equal_weight,crypto,equal_weight,2022-06-01,0.07635119632023682
crypto_equal_weight,crypto,equal_weight,2022-07-01,0.062260904092131156
crypto_equal_weight,crypto,equal_weight,2022-08-01,0.10515057503004752
crypto_equal_weight,crypto,equal_weight,2022-09-01,0.021219935025505156
crypto_equal_weight,crypto,equal_weight,2022-10-01,0.057718278624622144
crypto_equal_weight,crypto,equal_weight,2022-11-01,0.030994651938395193
crypto_equal_weight,crypto,equal_weight,2022-12-01,0.06706297554845737
crypto_equal_weight,crypto,equal_weight,2023-01-01,0.03730462590512456
crypto_equal_weight,crypto,equal_weight,2023-02-01,0.034601917224557785
crypto_equal_weight,crypto,equal_weight,2023-03-01,0.023303392615625203
crypto_equal_weight,crypto,equal_weight,2023-04-01,0.0596507208568145
crypto_equal_weight,crypto,equal_weight,2023-05-01,0.031202949289222327
crypto_equal_weight,crypto,equal_weight,2023-06-01,0.030471567941276263
crypto_equal_weight,crypto,equal_weight,2023-07-01,0.125876656683004
crypto_equal_weight,crypto,equal_weight,2023-08-01,0.07575423527195266
crypto_equal_weight,crypto,equal_weight,2023-09-01,0.0387549438622886
crypto_equal_weight,crypto,equal_weight,2023-10-01,0.021186353438420992
crypto_equal_weight,crypto,equal_weight,2023-11-01,0.024196764756997544
crypto_equal_weight,crypto,equal_weight,2023-12-01,0.03213161530738908
crypto_max_sharpe,crypto,max_sharpe,2021-01-01,
crypto_max_sharpe,crypto,max_sharpe,2021-02-01,0.261532099586704
crypto_max_sharpe,crypto,max_sharpe,2021-03-01,0.32242661994359667
crypto_max_sharpe,crypto,max_sharpe,2021-04-01,0.14853272230423947
crypto_max_sharpe,crypto,max_sharpe,2021-05-01,0.2135086988462649
crypto_max_sharpe,crypto,max_sharpe,2021-06-01,0.11166884514070076
crypto_max_sharpe,crypto,max_sharpe,2021-07-01,0.0271600979560211
crypto_max_sharpe,crypto,max_sharpe,2021-08-01,0.05254042645562674
crypto_max_sharpe,crypto,max_sharpe,2021-09-01,0.1388895765273945
crypto_max_sharpe,crypto,max_sharpe,2021-10-01,0.03910396090535812
crypto_max_sharpe,crypto,max_sharpe,2021-11-01,0.06571051030827245
crypto_max_sharpe,crypto,max_sharpe,2021-12-01,0.1796591176557378
crypto_max_sharpe,crypto,max_sharpe,2022-01-01,0.22249358365727667
crypto_max_sharpe,crypto,max_sharpe,2022-02-01,0.09106391229167914
crypto_max_sharpe,crypto,max_sharpe,2022-03-01,0.18469971307772962
crypto_max_sharpe,crypto,max_sharpe,2022-04-01,0.2382145212973393
crypto_max_sharpe,crypto,max_sharpe,2022-05-01,0.23028058295255444
crypto_max_sharpe,crypto,max_sharpe,2022-06-01,0.28674205400609537
crypto_max_sharpe,crypto,max_sharpe,2022-07-01,0.2613746129869262
crypto_max_sharpe,crypto,max_sharpe,2022-08-01,0.2365032232171145
crypto_max_sharpe,crypto,max_sharpe,2022-09-01,0.20744162705934546
crypto_max_sharpe,crypto,max_sharpe,2022-10-01,0.4308943610016995
crypto_max_sharpe,crypto,max_sharpe,2022-11-01,0.23375179231396825
crypto_max_sharpe,crypto,max_sharpe,2022-12-01,0.09746955554597092
crypto_max_sharpe,crypto,max_sharpe,2023-01-01,0.03596422923781979
crypto_max_sharpe,crypto,max_sharpe,2023-02-01,0.034434068483978175
crypto_max_sharpe,crypto,max_sharpe,2023-03-01,0.20997413164829704
crypto_max_sharpe,crypto,max_sharpe,2023-04-01,0.2280065738332287
crypto_max_sharpe,crypto,max_sharpe,2023-05-01,0.2262959439934743
crypto_max_sharpe,crypto,max_sharpe,2023-06-01,0.21838881196482254
crypto_max_sharpe,crypto,max_sharpe,2023-07-01,0.4060745426277207
crypto_max_sharpe,crypto,max_sharpe,2023-08-01,0.23537510541334158
crypto_max_sharpe,crypto,max_sharpe,2023-09-01,0.05519975196729265
crypto_max_sharpe,crypto,max_sharpe,2023-10-01,0.20625117576273
crypto_max_sharpe,crypto,max_sharpe,2023-11-01,0.22346718702465315
crypto_max_sharpe,crypto,max_sharpe,2023-12-01,0.2226769749710591
crypto_min_cvar,crypto,min_cvar,2021-01-01,
crypto_min_cvar,crypto,min_cvar,2021-02-01,0.25369375731097654
crypto_min_cvar,crypto,min_cvar,2021-03-01,0.2146980139091753
crypto_min_cvar,crypto,min_cvar,2021-04-01,0.16726606497289204
crypto_min_cvar,crypto,min_cvar,2021-05-01,0.16696889466264964
crypto_min_cvar,crypto,min_cvar,2021-06-01,0.2849890458820049
crypto_min_cvar,crypto,min_cvar,2021-07-01,0.10229133736115788
crypto_min_cvar,crypto,min_cvar,2021-08-01,0.04795860112456563
crypto_min_cvar,crypto,min_cvar,2021-09-01,0.09155231104878606
crypto_min_cvar,crypto,min_cvar,2021-10-01,0.0955239189378993
crypto_min_cvar,crypto,min_cvar,2021-11-01,0.0722062815378209
crypto_min_cvar,crypto,min_cvar,2021-12-01,0.036786813285445495
crypto_min_cvar,crypto,min_cvar,2022-01-01,0.11014748323610862
crypto_min_cvar,crypto,min_cvar,2022-02-01,0.1570075351138025
crypto_min_cvar,crypto,min_cvar,2022-03-01,0.036413691184407404
crypto_min_cvar,crypto,min_cvar,2022-04-01,0.03845377679625282
crypto_min_cvar,crypto,min_cvar,2022-05-01,0.11951569755785094
crypto_min_cvar,crypto,min_cvar,2022-06-01,0.28673071995433663
crypto_min_cvar,crypto,min_cvar,2022-07-01,0.3024059802605319
crypto_min_cvar,crypto,min_cvar,2022-08-01,0.060577418240500794
crypto_min_cvar,crypto,min_cvar,2022-09-01,0.08392078028500127
crypto_min_cvar,crypto,min_cvar,2022-10-01,0.07891520332154786
crypto_min_cvar,crypto,min_cvar,2022-11-01,0.028820307387771193
crypto_min_cvar,crypto,min_cvar,2022-12-01,0.015277214407919425
crypto_min_cvar,crypto,min_cvar,2023-01-01,0.19282605900186336
crypto_min_cvar,crypto,min_cvar,2023-02-01,0.04882119956433181
crypto_min_cvar,crypto,min_cvar,2023-03-01,0.08837456728596982
crypto_min_cvar,crypto,min_cvar,2023-04-01,0.07418003655498567
crypto_min_cvar,crypto,min_cvar,2023-05-01,0.03853837050572283
crypto_min_cvar,crypto,min_cvar,2023-06-01,0.15638561263971312
crypto_min_cvar,crypto,min_cvar,2023-07-01,0.13224043855397055
crypto_min_cvar,crypto,min_cvar,2023-08-01,0.2517758661215417
crypto_min_cvar,crypto,min_cvar,2023-09-01,0.35090797887423475
crypto_min_cvar,crypto,min_cvar,2023-10-01,0.04584086551676807
crypto_min_cvar,crypto,min_cvar,2023-11-01,0.030832483872157822
crypto_min_cvar,crypto,min_cvar,2023-12-01,0.12561133126580065
crypto_min_variance,crypto,min_variance,2021-01-01,
crypto_min_variance,crypto,min_variance,2021-02-01,0.3251118427348102
crypto_min_variance,crypto,min_variance,2021-03-01,0.19685904553929567
crypto_min_variance,crypto,min_variance,2021-04-01,0.17832043949255152
crypto_min_variance,crypto,min_variance,2021-05-01,0.20813470362518216
crypto_min_variance,crypto,min_variance,2021-06-01,0.29057596320890383
crypto_min_variance,crypto,min_variance,2021-07-01,0.05010308627227139
crypto_min_variance,crypto,min_variance,2021-08-01,0.05047638733766936
crypto_min_variance,crypto,min_variance,2021-09-01,0.09442046691981011
crypto_min_variance,crypto,min_variance,2021-10-01,0.0475062424587232
crypto_min_variance,crypto,min_variance,2021-11-01,0.06406424337205102
crypto_min_variance,crypto,min_variance,2021-12-01,0.0691816105391621
crypto_min_variance,crypto,min_variance,2022-01-01,0.04116739320379151
crypto_min_variance,crypto,min_variance,2022-02-01,0.18770702458265043
crypto_min_variance,crypto,min_variance,2022-03-01,0.08256919749257521
crypto_min_variance,crypto,min_variance,2022-04-01,0.06339191062801604
crypto_min_variance,crypto,min_variance,2022-05-01,0.09067194852542224
crypto_min_variance,crypto,min_variance,2022-06-01,0.2714462731432527
crypto_min_variance,crypto,min_variance,2022-07-01,0.11142069828797281
crypto_min_variance,crypto,min_variance,2022-08-01,0.08308649395078913
crypto_min_variance,crypto,min_variance,2022-09-01,0.16798028991501393
crypto_min_variance,crypto,min_variance,2022-10-01,0.09140998105363043
