date,fund,profile,gross_return,turnover,transaction_cost,net_return,target_crypto_budget,target_equity_budget
2021-01-04,balanced_raw_adaptive,balanced,0.0082307574618767591,0,0,0.0082307574618767591,0.079508196721311403,0.92049180327868863
2021-01-05,balanced_raw_adaptive,balanced,0.0045172349482600288,0,0,0.0045172349482600288,0.079508196721311403,0.92049180327868863
2021-01-06,balanced_raw_adaptive,balanced,0.016517677425768824,0,0,0.016517677425768824,0.079508196721311403,0.92049180327868863
2021-01-07,balanced_raw_adaptive,balanced,0.012505343981372936,0,0,0.012505343981372936,0.079508196721311403,0.92049180327868863
2021-01-08,balanced_raw_adaptive,balanced,-0.0031663430221514919,0,0,-0.0031663430221514919,0.079508196721311403,0.92049180327868863
2021-01-11,balanced_raw_adaptive,balanced,-0.012453860817503501,0,0,-0.012453860817503501,0.079508196721311403,0.92049180327868863
2021-01-12,balanced_raw_adaptive,balanced,-0.011287191234189526,0,0,-0.011287191234189526,0.079508196721311403,0.92049180327868863
2021-01-13,balanced_raw_adaptive,balanced,0.0017693127972881538,0,0,0.0017693127972881538,0.079508196721311403,0.92049180327868863
2021-01-14,balanced_raw_adaptive,balanced,0.0040153876559669861,0,0,0.0040153876559669861,0.079508196721311403,0.92049180327868863
2021-01-15,balanced_raw_adaptive,balanced,-0.0043269249764573111,0,0,-0.0043269249764573111,0.079508196721311403,0.92049180327868863
2021-01-19,balanced_raw_adaptive,balanced,0.012100341230098878,0,0,0.012100341230098878,0.079508196721311403,0.92049180327868863
2021-01-20,balanced_raw_adaptive,balanced,0.014060360587205915,0,0,0.014060360587205915,0.079508196721311403,0.92049180327868863
2021-01-21,balanced_raw_adaptive,balanced,-0.021865219467347818,0,0,-0.021865219467347818,0.079508196721311403,0.92049180327868863
2021-01-22,balanced_raw_adaptive,balanced,0.0031222061852975262,0,0,0.0031222061852975262,0.079508196721311403,0.92049180327868863
2021-01-25,balanced_raw_adaptive,balanced,0.00070296068545956528,0,0,0.00070296068545956528,0.079508196721311403,0.92049180327868863
2021-01-26,balanced_raw_adaptive,balanced,-0.0093277423792834623,0,0,-0.0093277423792834623,0.079508196721311403,0.92049180327868863
2021-01-27,balanced_raw_adaptive,balanced,-0.033526991987604379,0,0,-0.033526991987604379,0.079508196721311403,0.92049180327868863
2021-01-28,balanced_raw_adaptive,balanced,0.012496171953085784,0,0,0.012496171953085784,0.079508196721311403,0.92049180327868863
2021-01-29,balanced_raw_adaptive,balanced,-0.0020451259980292665,0,0,-0.0020451259980292665,0.079508196721311403,0.92049180327868863
2021-02-01,balanced_raw_adaptive,balanced,0.00223715842719357,0.1525898429499345,0.0001525898429499345,0.0020845685842436354,0.078742514970059796,0.9212574850299402
2021-02-02,balanced_raw_adaptive,balanced,0.011561428150050405,0,0,0.011561428150050405,0.078742514970059796,0.9212574850299402
2021-02-03,balanced_raw_adaptive,balanced,-0.0036518597917459756,0,0,-0.0036518597917459756,0.078742514970059796,0.9212574850299402
2021-02-04,balanced_raw_adaptive,balanced,-0.0044354380512636156,0,0,-0.0044354380512636156,0.078742514970059796,0.9212574850299402
2021-02-05,balanced_raw_adaptive,balanced,0.023449701583385506,0,0,0.023449701583385506,0.078742514970059796,0.9212574850299402
2021-02-08,balanced_raw_adaptive,balanced,0.014373267442371723,0,0,0.014373267442371723,0.078742514970059796,0.9212574850299402
