date,ticker,sector,base_weight,stock_sentiment_z,sector_neutral_weight
2021-01-04,ABBV,Healthcare,0.1622349620349714,1.5605503963734806,0.0
2021-01-04,ABT,Healthcare,0.0,-0.380148935522578,0.0
2021-01-04,ADBE,Tech,0.0,1.8219010759019565,-0.0
2021-01-04,AEP,Utilities,0.0,0.15201026674632243,0.0
2021-01-04,AMD,Tech,2.070816856436508e-18,-0.49786775074942236,2.16809076105656e-18
2021-01-04,AMGN,Healthcare,0.0,-0.2807272352221677,0.0
2021-01-04,AMT,RealEstate,2.0816328210448296e-18,-0.30970071621447887,2.0823441229517765e-18
2021-01-04,BA,Industrials,1.0295713412540857e-18,-1.237515995357153,4.199544761136957e-18
2021-01-04,CAT,Industrials,2.3683045783617236e-17,-0.4486685308708471,6.254407896478784e-17
2021-01-04,CCI,RealEstate,1.67555480106856e-18,0.05798388703615839,1.2055723467262146e-18
2021-01-04,CMCSA,Comm,0.0,-0.13398166398193712,0.0
2021-01-04,COP,Energy,0.0,0.016287877326443934,0.0
2021-01-04,CVX,Energy,0.0,1.6209803274586831,-0.0
2021-01-04,D,Utilities,0.0,-0.1838598254294662,0.0
2021-01-04,DD,Materials,0.0,-0.11016599529328779,0.0
2021-01-04,DIS,Consumer,0.0,0.19252223649151015,0.0
2021-01-04,DOW,Materials,8.190159177548324e-20,-0.27011522741396954,7.837258749909776e-20
2021-01-04,DUK,Utilities,5.521998497905473e-18,-0.18160607433585704,5.385668005744777e-18
2021-01-04,EA,Comm,0.0765250955833149,-0.42344993760491784,0.07826188913602021
2021-01-04,GE,Industrials,1.7387841339771125e-18,-0.20767436894166735,3.828028289294281e-18
2021-01-04,GILD,Healthcare,0.1333174701448225,-0.26338481842427436,0.22986848265699447
2021-01-04,GS,Financials,0.0,0.19881929254485609,0.0
2021-01-04,INTC,Tech,1.2818963896530333e-18,-0.29145014337235453,1.1571585431532653e-18
2021-01-04,KO,Consumer,0.0,2.123749485506311,-0.0
2021-01-04,MMM,Industrials,0.082559990673902,0.6235430663899971,0.05665843264459451
2021-01-04,MRK,Healthcare,0.062547580808715,-0.5021994440797896,0.1282315303315144
2021-01-04,MS,Financials,0.0,0.9516358848235796,0.0
2021-01-04,NEE,Utilities,9.398199032565045e-19,-0.3872596428263509,1.0761503954172006e-18
2021-01-04,NEM,Materials,0.1386943440635856,-0.3273066793243434,0.1386943440635856
2021-01-04,NKE,Consumer,0.002201319636799,0.08070939801308395,0.0023023099373793124
2021-01-04,NUE,Materials,0.0,-0.2768573795693852,0.0
2021-01-04,NVDA,Tech,1.0595214954352236e-19,0.0,7.405801526088866e-20
2021-01-04,O,RealEstate,1.1122388479767622e-18,0.7912103319954219,1.7737130991693372e-19
2021-01-04,OXY,Energy,9.286614370404082e-19,-0.08018828772513066,9.286614370404082e-19
2021-01-04,PLD,RealEstate,0.0,-0.282992606142755,0.0
2021-01-04,PSA,RealEstate,0.0822826397792971,-0.30925333933440186,0.0822826397792971
2021-01-04,QCOM,Tech,3.8442525919903187e-19,-0.6515692077923608,4.437833353613822e-19
2021-01-04,SBUX,Consumer,1.162166013389726e-18,1.8260780962887009,0.0
2021-01-04,SHW,Materials,4.712703968837295e-19,-0.11489972968769237,3.958536834629226e-19
2021-01-04,SLB,Energy,0.0,-0.1053564818460363,0.0
2021-01-04,SO,Utilities,0.0,0.06415278689394448,0.0
2021-01-04,T,Comm,6.473483653799307e-19,0.044262060448758474,4.445095854722851e-19
2021-01-04,TMUS,Comm,1.3765977573920733e-18,-0.34743125281238263,1.332655581466633e-18
2021-01-04,TTWO,Comm,0.0420330299236461,-0.334349323726872,0.04029623637094077
2021-01-04,UPS,Industrials,0.0176035673509459,-0.35568914191259204,0.04350512538025334
2021-01-04,USB,Financials,0.0,-0.2728843014404789,0.0
2021-01-04,V,Financials,2.830154396193415e-20,0.2805268867821664,2.830154396193415e-20
2021-01-04,WFC,Financials,0.0,-0.11724760534502533,0.0
2021-01-04,WMT,Consumer,0.2,0.12147770598042652,0.1998990096994197
2021-01-04,XOM,Energy,0.0,-0.7632482009499775,0.0
2021-02-01,ABBV,Healthcare,0.1479245689363824,-0.21860859727002913,0.11280793202542208
2021-02-01,ABT,Healthcare,7.21238345277866e-18,1.722276299052102,0.0
2021-02-01,ADBE,Tech,0.0,-0.47975410687227443,0.0
2021-02-01,AEP,Utilities,1.4662285493097245e-18,-0.02152219626586158,1.8727284288537566e-18
2021-02-01,AMD,Tech,3.019656723312113e-18,-0.13000050120265702,3.2428170297085413e-18
2021-02-01,AMGN,Healthcare,0.0,-0.2222510772228054,0.0
2021-02-01,AMT,RealEstate,0.0,-0.16574281655280573,0.0
2021-02-01,BA,Industrials,0.0,-0.1996140275516477,0.0
2021-02-01,CAT,Industrials,0.0,-1.1476266080922635,0.0
2021-02-01,CCI,RealEstate,3.559791953607376e-19,-0.13019417954520823,2.9558519382633445e-19
2021-02-01,CMCSA,Comm,0.0,0.07103157158930998,0.0
2021-02-01,COP,Energy,0.0,-4.26759196920167,0.0
2021-02-01,CVX,Energy,1.1091647596995409e-18,-1.0509643269115152,6.51306295542333e-19
2021-02-01,D,Utilities,4.298661186334061e-18,-0.05584004700465868,5.674879844342424e-18
2021-02-01,DD,Materials,2.214107665478135e-18,-0.21370357828713066,2.381173903210898e-18
2021-02-01,DIS,Consumer,0.0,0.37047266735645895,0.0
2021-02-01,DOW,Materials,0.0,-0.14622527154406462,0.0
2021-02-01,DUK,Utilities,3.2350786573267384e-18,-0.21428130191593453,4.911673347978277e-18
2021-02-01,EA,Comm,0.0899056772878342,-0.16971024327605522,0.08873378906901375
2021-02-01,GE,Industrials,3.7113122077408705e-19,0.5005746451805568,9.533262442558438e-20
2021-02-01,GILD,Healthcare,0.1254934996386311,-1.0760699879541766,0.1630415549689443
2021-02-01,GS,Financials,3.0750175581199205e-18,-0.5163601345302266,4.583520171310652e-18
2021-02-01,INTC,Tech,1.6546345267031365e-18,-0.38306807501520546,2.1748628413187552e-18
2021-02-01,KO,Consumer,1.6396578459258998e-17,0.9501012948698847,4.641127640330493e-19
2021-02-01,MMM,Industrials,0.103890096398999,-1.000776962772904,0.10690950024695187
2021-02-01,MRK,Healthcare,0.0708156179972159,-0.543091328329074,0.06838419957786307
2021-02-01,MS,Financials,1.6117244462681052e-18,0.28606775944912216,1.1310895157005692e-18
