date,profile,rolling_tail_risk,risk_score,raw_crypto_budget,raw_equity_budget,previous_applied_crypto_budget,applied_crypto_budget,applied_equity_budget,budget_change,no_adjustment_triggered,monthly_limit_triggered,applied_budget_available
2020-01-31,conservative,,,,,,,,,False,False,False
2020-01-31,balanced,,,,,,,,,False,False,False
2020-01-31,growth,,,,,,,,,False,False,False
2020-02-28,conservative,,,,,,,,,False,False,False
2020-02-28,balanced,,,,,,,,,False,False,False
2020-02-28,growth,,,,,,,,,False,False,False
2020-03-31,conservative,0.149517434550799,,,,,,,,False,False,False
2020-03-31,balanced,0.149517434550799,,,,,,,,False,False,False
2020-03-31,growth,0.149517434550799,,,,,,,,False,False,False
2020-04-30,conservative,0.1375276453502318,25.0,0.075,0.925,,0.075,0.925,,False,False,True
2020-04-30,balanced,0.1375276453502318,25.0,0.1625,0.8375,,0.1625,0.8375,,False,False,True
2020-04-30,growth,0.1375276453502318,25.0,0.25,0.75,,0.25,0.75,,False,False,True
2020-05-29,conservative,0.0594145438126023,1.1235955056179776,0.098876404494382,0.901123595505618,0.075,0.098876404494382,0.901123595505618,0.023876404494381998,False,False,True
2020-05-29,balanced,0.0594145438126023,1.1235955056179776,0.198314606741573,0.8016853932584269,0.1625,0.198314606741573,0.801685393258427,0.035814606741572996,False,False,True
2020-05-29,growth,0.0594145438126023,1.1235955056179776,0.297752808988764,0.702247191011236,0.25,0.297752808988764,0.702247191011236,0.047752808988763995,False,False,True
2020-06-30,conservative,0.0569063282304659,2.479338842975207,0.0975206611570248,0.9024793388429752,0.098876404494382,0.098876404494382,0.901123595505618,0.0,True,False,True
2020-06-30,balanced,0.0569063282304659,2.479338842975207,0.1962809917355372,0.8037190082644627,0.198314606741573,0.198314606741573,0.801685393258427,0.0,True,False,True
2020-06-30,growth,0.0569063282304659,2.479338842975207,0.2950413223140495,0.7049586776859504,0.297752808988764,0.297752808988764,0.702247191011236,0.0,True,False,True
2020-07-31,conservative,0.036325914903122,0.6578947368421052,0.0993421052631579,0.9006578947368421,0.098876404494382,0.098876404494382,0.901123595505618,0.0,True,False,True
2020-07-31,balanced,0.036325914903122,0.6578947368421052,0.1990131578947368,0.8009868421052632,0.198314606741573,0.198314606741573,0.801685393258427,0.0,True,False,True
