decision_date,effective_date,fund,profile,fund_type,rolling_tail_risk,risk_score,raw_crypto_budget,raw_equity_budget,previous_applied_crypto_budget,applied_crypto_budget,applied_equity_budget,previous_target_crypto_budget,target_crypto_budget,target_equity_budget,pretrade_crypto_weight,pretrade_equity_weight,market_drift_from_previous_target,post_rebalance_crypto_weight,post_rebalance_equity_weight,crypto_rebalance_change,target_budget_change,no_adjustment_triggered,monthly_limit_triggered,turnover
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,0.0950169251794809,80.32786885245902,0.0795081967213114,0.9204918032786884,0.158941605839416,0.1089416058394159,0.891058394160584,,0.1089416058394159,0.891058394160584,0.10894160583941559,0.8910583941605844,,0.1089416058394159,0.8910583941605839,3.0531133177191805e-16,-0.05,False,True,
2021-01-29,2021-02-01,balanced_adaptive,balanced,adaptive,0.1082779977240067,80.83832335329342,0.0787425149700598,0.92125748502994,0.1089416058394159,0.0787425149700598,0.9212574850299402,0.1089416058394159,0.0787425149700598,0.9212574850299402,0.10437941228458777,0.8956205877154122,-0.00456219355482812,0.0787425149700604,0.92125748502994,-0.025636897314527368,-0.0301990908693561,False,False,0.1668720643418145
2021-02-26,2021-03-01,balanced_adaptive,balanced,adaptive,0.1011100516469831,76.24309392265194,0.085635359116022,0.914364640883978,0.0787425149700598,0.0787425149700598,0.9212574850299402,0.0787425149700598,0.0787425149700598,0.9212574850299402,0.10877000713774826,0.8912299928622518,0.030027492167688463,0.0787425149700598,0.921257485029909,-0.030027492167688463,0.0,True,False,0.0918048766021969
2021-03-31,2021-04-01,balanced_adaptive,balanced,adaptive,0.0721050474222789,43.54430379746835,0.1346835443037974,0.8653164556962025,0.0787425149700598,0.1287425149700597,0.8712574850299402,0.0787425149700598,0.1287425149700597,0.8712574850299402,0.09609249190125276,0.9039075080987472,0.01734997693119296,0.12874251497006,0.87125748502994,0.03265002306880725,0.0499999999999999,False,True,0.5174394829796732
2021-04-30,2021-05-03,balanced_adaptive,balanced,adaptive,0.0665231499094032,34.8235294117647,0.1477647058823529,0.852235294117647,0.1287425149700597,0.1477647058823529,0.8522352941176471,0.1287425149700597,0.1477647058823529,0.8522352941176471,0.17065612750349923,0.8293438724965008,0.04191361253343953,0.1477647058823529,0.8522352941176401,-0.022891421621146324,0.0190221909122931,False,False,0.2147228869521806
2021-05-28,2021-06-01,balanced_adaptive,balanced,adaptive,0.1494506335886626,93.3774834437086,0.0599337748344371,0.9400662251655628,0.1477647058823529,0.0977647058823529,0.9022352941176472,0.1477647058823529,0.0977647058823529,0.9022352941176472,0.15749843271965455,0.8425015672803454,0.009733726837301643,0.0977647058823527,0.9022352941176492,-0.059733726837301854,-0.05,False,True,0.2491765042750782
2021-06-30,2021-07-01,balanced_adaptive,balanced,adaptive,0.1683440029788646,100.0,0.05,0.95,0.0977647058823529,0.05,0.95,0.0977647058823529,0.05,0.95,0.07520390461002478,0.9247960953899752,-0.022560801272328124,0.05,0.95,-0.02520390461002478,-0.0477647058823529,False,False,0.3140456339975548
2021-07-30,2021-08-02,balanced_adaptive,balanced,adaptive,0.0918319470264436,60.07751937984496,0.1098837209302325,0.8901162790697674,0.05,0.1,0.9,0.05,0.1,0.9,0.04845329292423206,0.9515467070757679,-0.0015467070757679419,0.1,0.8999999999999975,0.051546707075767945,0.05,False,True,0.1020543342357834
2021-08-31,2021-09-01,balanced_adaptive,balanced,adaptive,0.0566624258194645,16.240875912408757,0.1756386861313868,0.8243613138686131,0.1,0.15,0.85,0.1,0.15,0.85,0.13150133589297888,0.8684986641070211,0.03150133589297888,0.15,0.85,0.018498664107021112,0.05,False,True,0.0287069746785348
2021-09-30,2021-10-01,balanced_adaptive,balanced,adaptive,0.0897193866592784,63.14878892733565,0.1052768166089965,0.8947231833910034,0.15,0.1052768166089965,0.8947231833910035,0.15,0.1052768166089965,0.8947231833910035,0.13452695912984902,0.865473040870151,-0.015473040870150973,0.1052768166089964,0.8947231833910035,-0.029250142520852618,-0.0447231833910035,False,False,0.3140966382723067
2021-10-29,2021-11-01,balanced_adaptive,balanced,adaptive,0.088803821425399,60.79077429983526,0.1088138385502471,0.8911861614497529,0.1052768166089965,0.1052768166089965,0.8947231833910035,0.1052768166089965,0.1052768166089965,0.8947231833910035,0.12188627050667546,0.8781137294933246,0.016609453897678955,0.1052768166089964,0.8947231833910012,-0.016609453897679052,0.0,True,False,0.2935185573670853
2021-11-30,2021-12-01,balanced_adaptive,balanced,adaptive,0.0669718047226076,29.42097026604069,0.1558685446009389,0.8441314553990611,0.1052768166089965,0.1552768166089965,0.8447231833910035,0.1052768166089965,0.1552768166089965,0.8447231833910035,0.09385025290618397,0.906149747093816,-0.011426563702812531,0.1552768166089963,0.844723183390978,0.06142656370281234,0.05,False,True,0.3534538109663506
2021-12-31,2022-01-03,balanced_adaptive,balanced,adaptive,0.0780920808393098,51.7910447761194,0.1223134328358209,0.8776865671641791,0.1552768166089965,0.1223134328358209,0.8776865671641791,0.1552768166089965,0.1223134328358209,0.8776865671641791,0.12318449138860892,0.8768155086113911,-0.03209232522038759,0.1223134328358209,0.8776865671643672,-0.0008710585527880177,-0.0329633837731756,False,False,0.1187045480959556
2022-01-31,2022-02-01,balanced_adaptive,balanced,adaptive,0.0823514270204458,57.34664764621969,0.1139800285306704,0.8860199714693295,0.1223134328358209,0.1223134328358209,0.8776865671641791,0.1223134328358209,0.1223134328358209,0.8776865671641791,0.09786329082282988,0.9021367091771701,-0.02445014201299102,0.122313432835821,0.8776865671641808,0.024450142012991116,0.0,True,False,0.3133481517125372
2022-02-28,2022-03-01,balanced_adaptive,balanced,adaptive,0.0728313155296015,39.09465020576132,0.141358024691358,0.858641975308642,0.1223134328358209,0.141358024691358,0.8586419753086421,0.1223134328358209,0.141358024691358,0.8586419753086421,0.14932079615782887,0.8506792038421711,0.02700736332200797,0.1413580246913579,0.8586419753086415,-0.00796277146647098,0.0190445918555371,False,False,0.4860339809738362
2022-03-31,2022-04-01,balanced_adaptive,balanced,adaptive,0.0597575067252199,19.210526315789473,0.1711842105263158,0.8288157894736842,0.141358024691358,0.1711842105263158,0.8288157894736842,0.141358024691358,0.1711842105263158,0.8288157894736842,0.15153647659072517,0.8484635234092748,0.010178451899367169,0.1711842105263151,0.8288157894736841,0.01964773393558994,0.0298261858349578,False,False,0.4050049640979515
2022-04-29,2022-05-02,balanced_adaptive,balanced,adaptive,0.0661928736832527,24.20785804816223,0.1636882129277566,0.8363117870722434,0.1711842105263158,0.1711842105263158,0.8288157894736842,0.1711842105263158,0.1711842105263158,0.8288157894736842,0.15032239672876146,0.8496776032712385,-0.020861813797554335,0.171184210526316,0.828815789473684,0.02086181379755453,0.0,True,False,0.3485315696446552
2022-05-31,2022-06-01,balanced_adaptive,balanced,adaptive,0.1036648531803156,81.97320341047502,0.0770401948842874,0.9229598051157124,0.1711842105263158,0.1211842105263158,0.8788157894736842,0.1711842105263158,0.1211842105263158,0.8788157894736842,0.12246892877948133,0.8775310712205187,-0.04871528174683447,0.1211842105263163,0.8788157894736826,-0.0012847182531650347,-0.05,False,True,0.2883142489477609
2022-06-30,2022-07-01,balanced_adaptive,balanced,adaptive,0.1139390110615981,85.19388954171563,0.0722091656874265,0.9277908343125736,0.1211842105263158,0.0722091656874265,0.9277908343125736,0.1211842105263158,0.0722091656874265,0.9277908343125736,0.09523023158859267,0.9047697684114073,-0.025953978937723124,0.0722091656874265,0.9277908343125733,-0.023021065901166177,-0.0489750448388893,False,False,0.4284836682265975
2022-07-29,2022-08-01,balanced_adaptive,balanced,adaptive,0.0824508483960887,58.18181818181818,0.1127272727272727,0.8872727272727272,0.0722091656874265,0.1127272727272727,0.8872727272727273,0.0722091656874265,0.1127272727272727,0.8872727272727273,0.07992778578499811,0.9200722142150018,0.007718620097571613,0.1127272727272731,0.8872727272727274,0.032799486942275,0.0405181070398462,False,False,0.0686570342702938
2022-08-31,2022-09-01,balanced_adaptive,balanced,adaptive,0.0663977996623439,23.548740416210297,0.1646768893756845,0.8353231106243154,0.1127272727272727,0.1627272727272727,0.8372727272727273,0.1127272727272727,0.1627272727272727,0.8372727272727273,0.10249293026366499,0.897507069736335,-0.010234342463607715,0.1627272727272702,0.8372727272727312,0.060234342463605206,0.05,False,True,0.1810237813154221
