date,fund,profile,fund_type,gross_return,turnover,transaction_cost_rate,transaction_cost,net_return,gross_growth_of_1,net_growth_of_1,cumulative_transaction_cost
2021-01-04,balanced_adaptive,balanced,adaptive,0.0084379362944504432,0,0.001,0,0.0084379362944504432,1.0084379362944504,1.0084379362944504,0
2021-01-05,balanced_adaptive,balanced,adaptive,0.0050405427574331529,0,0.001,0,0.0050405427574331529,1.0135210108305603,1.0135210108305603,0
2021-01-06,balanced_adaptive,balanced,adaptive,0.01850660378746638,0,0.001,0,0.01850660378746638,1.0322778426082739,1.0322778426082739,0
2021-01-07,balanced_adaptive,balanced,adaptive,0.01254819277653918,0,0.001,0,0.01254819277653918,1.0452310639762725,1.0452310639762725,0
2021-01-08,balanced_adaptive,balanced,adaptive,-0.0030749311086587516,0,0.001,0,-0.0030749311086587516,1.0420170504619155,1.0420170504619155,0
2021-01-11,balanced_adaptive,balanced,adaptive,-0.016933823232492817,0,0.001,0,-0.016933823232492817,1.0243717179241498,1.0243717179241498,0
2021-01-12,balanced_adaptive,balanced,adaptive,-0.012183863527588823,0,0.001,0,-0.012183863527588823,1.0118909127114404,1.0118909127114404,0
2021-01-13,balanced_adaptive,balanced,adaptive,0.0042998133592651033,0,0.001,0,0.0042998133592651033,1.0162418547760359,1.0162418547760359,0
2021-01-14,balanced_adaptive,balanced,adaptive,0.0052645845110115275,0,0.001,0,0.0052645845110115275,1.0215919459041314,1.0215919459041314,0
2021-01-15,balanced_adaptive,balanced,adaptive,-0.0055736637206084128,0,0.001,0,-0.0055736637206084128,1.0158979359379798,1.0158979359379798,0
2021-01-19,balanced_adaptive,balanced,adaptive,0.012232806019716991,0,0.001,0,0.012232806019716991,1.02832521832414,1.02832521832414,0
2021-01-20,balanced_adaptive,balanced,adaptive,0.013318993689202863,0,0.001,0,0.013318993689202863,1.0420214754174475,1.0420214754174475,0
2021-01-21,balanced_adaptive,balanced,adaptive,-0.025593842711239989,0,0.001,0,-0.025593842711239989,1.0153521416738791,1.0153521416738791,0
2021-01-22,balanced_adaptive,balanced,adaptive,0.0048174092808199731,0,0.001,0,0.0048174092808199731,1.0202435085044792,1.0202435085044792,0
2021-01-25,balanced_adaptive,balanced,adaptive,8.7056939260587995e-05,0,0.001,0,8.7056939260587995e-05,1.0203323277816301,1.0203323277816301,0
2021-01-26,balanced_adaptive,balanced,adaptive,-0.0089950556249871472,0,0.001,0,-0.0089950556249871472,1.0111543817372617,1.0111543817372617,0
2021-01-27,balanced_adaptive,balanced,adaptive,-0.034700377631078361,0,0.001,0,-0.034700377631078361,0.97606694284765916,0.97606694284765916,0
2021-01-28,balanced_adaptive,balanced,adaptive,0.014280646808131126,0,0.001,0,0.014280646808131126,0.9900058101195589,0.9900058101195589,0
2021-01-29,balanced_adaptive,balanced,adaptive,-0.00083837155849819656,0,0.001,0,-0.00083837155849819656,0.98917581740560667,0.98917581740560667,0
2021-02-01,balanced_adaptive,balanced,adaptive,0.0022371584271936307,0.16687206434181451,0.001,0.00016687206434181452,0.002070286362851816,0.99138876042149182,0.99122369461084436,0.00016687206434181452
2021-02-02,balanced_adaptive,balanced,adaptive,0.011561428150050457,0,0.001,0,0.011561428150050457,1.0028506303438725,1.0026836561367152,0.00016687206434181452
2021-02-03,balanced_adaptive,balanced,adaptive,-0.0036518597917459816,0,0.001,0,-0.0036518597917459816,0.99918836044979253,0.99902199600902863,0.00016687206434181452
2021-02-04,balanced_adaptive,balanced,adaptive,-0.0044354380512635627,0,0.001,0,-0.0044354380512635627,0.99475652237547385,0.99459089583388094,0.00016687206434181452
2021-02-05,balanced_adaptive,balanced,adaptive,0.023449701583385441,0,0.001,0,0.023449701583385441,1.018083265973305,1.0179137555387374,0.00016687206434181452
2021-02-08,balanced_adaptive,balanced,adaptive,0.014373267442371773,0,0.001,0,0.014373267442371773,1.0327164490337426,1.0325445021803648,0.00016687206434181452
2021-02-09,balanced_adaptive,balanced,adaptive,-0.0051508282017276308,0,0.001,0,-0.0051508282017276308,1.0273971040236716,1.0272260428389952,0.00016687206434181452
2021-02-10,balanced_adaptive,balanced,adaptive,-0.0043922583685339633,0,0.001,0,-0.0043922583685339633,1.022884510495716,1.0227142006559595,0.00016687206434181452
2021-02-11,balanced_adaptive,balanced,adaptive,0.0042103152680106337,0,0.001,0,0.0042103152680106337,1.0271911767676678,1.0270201498697926,0.00016687206434181452
2021-02-12,balanced_adaptive,balanced,adaptive,0.0093145906133209611,0,0.001,0,0.0093145906133209611,1.0367590420608741,1.0365864221174612,0.00016687206434181452
2021-02-16,balanced_adaptive,balanced,adaptive,-0.010359530951496998,0,0.001,0,-0.010359530951496998,1.0260187046754001,1.0258478729936338,0.00016687206434181452
2021-02-17,balanced_adaptive,balanced,adaptive,0.0079491637316855268,0,0.001,0,0.0079491637316855268,1.0341746953506368,1.0340025056998614,0.00016687206434181452
