mapped_trading_date,sector,sector_sentiment,sector_sentiment_lag1
2020-01-02,Comm,0.09235866666666667,
2020-01-03,Comm,0.0065699999999999995,0.09235866666666667
2020-01-06,Comm,0.057606666666666674,0.0065699999999999995
2020-01-07,Comm,0.09332,0.057606666666666674
2020-01-08,Comm,0.047416,0.09332
2020-01-09,Comm,-0.027080000000000003,0.047416
2020-01-10,Comm,-0.09694333333333334,-0.027080000000000003
2020-01-13,Comm,0.0108175,-0.09694333333333334
2020-01-14,Comm,0.020593333333333335,0.0108175
2020-01-15,Comm,0.010883333333333332,0.020593333333333335
2020-01-16,Comm,0.06245166666666666,0.010883333333333332
2020-01-17,Comm,0.01932,0.06245166666666666
2020-01-21,Comm,0.01816333333333333,0.01932
2020-01-22,Comm,-0.07086,0.01816333333333333
2020-01-23,Comm,0.17371285714285714,-0.07086
2020-01-24,Comm,0.008177090909090912,0.17371285714285714
2020-01-27,Comm,-0.010422424242424243,0.008177090909090912
2020-01-28,Comm,0.0067149999999999935,-0.010422424242424243
2020-01-29,Comm,0.11291500000000002,0.0067149999999999935
2020-01-30,Comm,-0.03582666666666666,0.11291500000000002
2020-01-31,Comm,-0.18282727272727273,-0.03582666666666666
2020-02-03,Comm,0.10843500000000002,-0.18282727272727273
2020-02-04,Comm,0.20932150000000002,0.10843500000000002
2020-02-05,Comm,0.0239,0.20932150000000002
2020-02-06,Comm,0.025545952380952384,0.0239
2020-02-07,Comm,0.05646700000000001,0.025545952380952384
2020-02-10,Comm,0.04206,0.05646700000000001
2020-02-11,Comm,-0.032351058823529406,0.04206
2020-02-12,Comm,0.06683833333333333,-0.032351058823529406
2020-02-13,Comm,0.07716785714285715,0.06683833333333333
2020-02-14,Comm,0.11717999999999999,0.07716785714285715
2020-02-18,Comm,0.02304457142857143,0.11717999999999999
2020-02-19,Comm,0.05024166666666667,0.02304457142857143
2020-02-20,Comm,0.055214166666666675,0.05024166666666667
2020-02-21,Comm,0.05649,0.055214166666666675
2020-02-24,Comm,0.030709999999999998,0.05649
2020-02-25,Comm,-0.01798,0.030709999999999998
2020-02-26,Comm,0.02384666666666667,-0.01798
2020-02-27,Comm,-0.011079999999999996,0.02384666666666667
2020-02-28,Comm,-0.14993357142857142,-0.011079999999999996
2020-03-02,Comm,0.09419,-0.14993357142857142
2020-03-03,Comm,0.048021999999999995,0.09419
2020-03-04,Comm,0.021496666666666667,0.048021999999999995
2020-03-05,Comm,0.08521666666666666,0.021496666666666667
2020-03-06,Comm,-0.012309999999999998,0.08521666666666666
2020-03-09,Comm,-0.008664761904761903,-0.012309999999999998
